                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6643,                  2.503,                  1.723,                0.35023,                0.36585,                0.32677,                0.14621,                 1.7612,                 2.8477,                 1.9048,                0.00056,                0.00056,                0.00056
                      2,                 1.7005,                 2.3792,                 1.7329,                0.34163,                0.35854,                0.29576,                0.13595,                   1.99,                 2.9331,                 2.0191,              0.0011174,              0.0011174,              0.0011174
                      3,                 1.7657,                  2.444,                 1.7923,                0.16276,                0.21707,                0.11513,                0.04278,                 2.2155,                 3.7418,                 2.3248,              0.0016519,              0.0016519,              0.0016519
                      4,                 1.8459,                 2.5165,                 1.9168,                 0.2403,                0.32439,                0.19652,                0.07224,                 1.9981,                 3.8309,                 2.1758,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.8546,                 2.4975,                 1.8714,                0.28457,                0.22683,                0.16961,                0.05918,                 2.1471,                 7.4718,                 2.5169,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.8361,                  2.375,                 1.8634,                0.30179,                0.32195,                 0.2171,                0.07009,                 2.1796,                 3.2721,                  2.319,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.8055,                 2.2833,                 1.8195,                0.14251,                0.24146,                0.08382,                0.02831,                 2.3157,                 7.7591,                 2.6214,               0.001802,               0.001802,               0.001802
                      8,                 1.8327,                  2.302,                 1.8941,                0.31963,                0.32771,                0.26763,                0.10945,                 1.9111,                   4.04,                  2.171,              0.0017624,              0.0017624,              0.0017624
                      9,                  1.752,                 2.1671,                 1.7889,                0.36728,                0.41483,                 0.3144,                0.13313,                 1.8195,                 2.6151,                  1.967,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.8825,                 2.2683,                 1.8959,                0.39411,                0.35366,                0.29519,                0.13202,                 1.8935,                 2.8132,                 2.0826,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.7808,                 2.2221,                 1.7845,                0.32985,                0.46341,                0.32828,                0.13797,                 1.9298,                 2.8727,                 2.0759,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.8117,                 2.1895,                 1.8152,                0.38648,                0.46829,                0.37373,                0.15951,                 1.8478,                 2.1814,                  1.896,               0.001604,               0.001604,               0.001604
                     13,                 1.7356,                 2.0849,                 1.7719,                0.50943,                0.44878,                 0.4469,                0.19419,                 1.8494,                 2.0527,                 1.9756,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.7033,                 2.0458,                 1.7348,                0.42135,                0.48293,                0.39928,                0.16152,                 1.9598,                 2.1192,                 2.0278,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.6822,                  2.014,                 1.7224,                0.46522,                0.46098,                0.43249,                0.19989,                 1.7553,                 2.2111,                 1.9127,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.6435,                 2.0508,                 1.7537,                0.49715,                0.43659,                0.48128,                0.23587,                 1.7443,                 2.0469,                 1.9304,              0.0014456,              0.0014456,              0.0014456
                     17,                  1.671,                 1.9826,                 1.7323,                0.53425,                0.51951,                 0.5014,                0.25559,                 1.6296,                 1.8961,                 1.7866,               0.001406,               0.001406,               0.001406
                     18,                 1.6981,                 2.0371,                 1.7711,                0.43942,                0.45366,                0.38689,                0.17982,                 1.8125,                 2.3921,                 2.0234,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.6953,                 2.0722,                 1.7844,                0.48084,                0.41951,                 0.4315,                0.20749,                 1.7791,                 2.2242,                 1.9723,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.6935,                  1.939,                 1.7486,                 0.5359,                 0.5013,                 0.5166,                0.25726,                 1.7027,                 1.9249,                 1.7839,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.6277,                 1.9427,                 1.7043,                0.49665,                0.42927,                0.47333,                0.22619,                 1.6793,                 2.2719,                 1.8218,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.6126,                 1.8618,                 1.6447,                 0.5451,                0.52195,                0.49745,                0.25681,                 1.5666,                 1.9416,                  1.705,               0.001208,               0.001208,               0.001208
                     23,                 1.5711,                 1.8786,                 1.6686,                0.54983,                0.50488,                0.53299,                0.26806,                 1.5515,                 1.7888,                 1.7325,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.5768,                 1.8611,                 1.6768,                0.56368,                0.56404,                0.56371,                0.30623,                 1.5537,                 1.7322,                  1.695,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.5636,                 1.7545,                 1.6497,                0.58423,                0.51951,                0.57273,                0.31637,                  1.524,                 1.7534,                 1.6936,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.5319,                 1.7835,                  1.651,                0.60871,                 0.5878,                0.61623,                0.33953,                  1.516,                 1.6602,                 1.6832,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.5461,                 1.8091,                 1.6564,                0.59302,                 0.5878,                0.60201,                0.33792,                 1.4455,                    1.6,                 1.5953,                0.00101,                0.00101,                0.00101
                     28,                 1.5252,                 1.7701,                  1.585,                0.59255,                 0.6122,                0.64127,                0.36455,                 1.4367,                 1.5442,                 1.5871,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.4534,                  1.668,                 1.5476,                0.64047,                0.62683,                0.65598,                0.37813,                 1.4134,                  1.523,                 1.5705,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.4876,                 1.7303,                 1.5869,                0.63651,                0.63659,                0.66894,                 0.3895,                 1.4307,                 1.5297,                 1.6071,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.4702,                 1.6632,                 1.5636,                0.60344,                0.60976,                0.64391,                0.37577,                 1.4404,                  1.552,                 1.5821,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.4948,                 1.6979,                 1.5757,                 0.6016,                0.62243,                0.66058,                0.39422,                 1.3474,                 1.5608,                  1.528,               0.000812,               0.000812,               0.000812
                     33,                 1.4696,                  1.584,                  1.525,                0.60302,                0.64094,                0.65164,                0.38432,                 1.3656,                 1.4789,                 1.5219,              0.0007724,              0.0007724,              0.0007724
                     34,                  1.386,                 1.5548,                 1.5097,                0.60867,                0.60976,                0.66425,                0.40605,                 1.3078,                  1.506,                 1.4901,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.3863,                  1.509,                 1.5163,                0.63647,                0.66098,                0.71642,                0.43997,                 1.3275,                  1.348,                 1.4892,              0.0006932,              0.0006932,              0.0006932
                     36,                  1.451,                 1.5949,                 1.5316,                0.70627,                0.65854,                0.72472,                0.44634,                 1.2818,                 1.3645,                 1.4716,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.3391,                 1.5119,                 1.4624,                0.65592,                0.72439,                0.75007,                 0.4604,                 1.2818,                 1.3049,                 1.4707,               0.000614,               0.000614,               0.000614
                     38,                 1.3776,                 1.5181,                  1.506,                0.68495,                0.73415,                0.78219,                0.47957,                 1.2822,                 1.2344,                 1.4549,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.3455,                 1.4229,                 1.4478,                0.66308,                0.73923,                0.76441,                0.47478,                 1.2471,                 1.2576,                 1.4284,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.3423,                 1.4316,                 1.4531,                0.75467,                0.70526,                0.78069,                0.49737,                 1.2181,                 1.2072,                 1.3998,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.3265,                 1.4658,                 1.5072,                0.73004,                0.73171,                0.79654,                0.51858,                 1.1902,                 1.1636,                 1.3691,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.3059,                 1.3754,                 1.4671,                0.74626,                0.71707,                0.79388,                0.51511,                 1.1869,                 1.1426,                 1.3556,               0.000416,               0.000416,               0.000416
                     43,                 1.3038,                 1.3135,                 1.4718,                0.77394,                0.71463,                0.82513,                0.52786,                 1.1851,                  1.124,                 1.3745,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.2335,                 1.3108,                 1.4388,                 0.8266,                0.74634,                0.84835,                0.57241,                 1.1136,                 1.0825,                 1.3366,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.2069,                 1.2334,                 1.4131,                0.79764,                0.78293,                0.86595,                0.59143,                 1.0939,                 1.0222,                 1.3231,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.2138,                 1.2039,                 1.3936,                0.78007,                 0.8132,                0.86251,                0.57927,                 1.0947,                 1.0412,                 1.3115,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.2421,                 1.2611,                 1.4438,                0.82574,                0.76585,                0.87658,                0.59166,                 1.0924,                0.99605,                 1.3092,               0.000218,               0.000218,               0.000218
                     48,                 1.2076,                 1.2052,                 1.3941,                0.81102,                    0.8,                0.88388,                0.60306,                 1.0779,                0.96026,                 1.2991,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.2124,                 1.1549,                 1.4007,                0.83262,                0.81707,                0.89545,                0.61979,                 1.0404,                0.94918,                 1.2773,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.1194,                 1.1036,                 1.3307,                0.82405,                0.82245,                0.89955,                0.62511,                 1.0224,                 0.9379,                 1.2687,               9.92e-05,               9.92e-05,               9.92e-05
